G = general actions (can be done basically anywhere)
S = specific actions (requires specific courses or objects or something)
R = routing actions (things like spawns, deaths, star actions)

R | ACT_UNINITIALIZED
S | ACT_ENTERING_STAR_DOOR
R | ACT_SPAWN_NO_SPIN_LANDING: ACT_SPAWN_NO_SPIN_AIRBORNE
R | ACT_BBH_ENTER_JUMP: ACT_BBH_ENTER_SPIN
S | ACT_TELEPORT_FADE_IN: ACT_TELEPORT_FADE_OUT
G | ACT_SQUISHED
S | ACT_HEAD_STUCK_IN_GROUND: ACT_DIVE
S | ACT_BUTT_STUCK_IN_GROUND: ACT_GROUND_POUND_LAND: ACT_GROUND_POUND
S | ACT_FEET_STUCK_IN_GROUND
S | ACT_PUTTING_ON_CAP
S | ACT_GRAB_POLE_SLOW: ACT_HOLDING_POLE
S | ACT_GRAB_POLE_FAST: ACT_HOLDING_POLE
S | ACT_CLIMBING_POLE: ACT_HOLDING_POLE
S | ACT_TOP_OF_POLE_JUMP: ACT_TOP_OF_POLE: ACT_TOP_OF_POLE_TRANSITION: ACT_HOLDING_POLE
S | ACT_HANG_MOVING: ACT_HANGING: ACT_START_HANGING
S | ACT_LEDGE_CLIMB_SLOW_2: ACT_LEDGE_CLIMB_SLOW_1: ACT_LEDGE_GRAB
S | ACT_LEDGE_CLIMB_DOWN: ACT_WALKING
S | ACT_LEDGE_CLIMB_FAST: ACT_LEDGE_GRAB
S | ACT_TORNADO_TWIRLING: ACT_TWIRLING
S | ACT_DIVE_PICKING_UP: ACT_DIVE_SLIDE
G | ACT_STOMACH_SLIDE_STOP
S | ACT_PLACING_DOWN
S | ACT_THROWING
S | ACT_HEAVY_THROW: ACT_HOLD_HEAVY_IDLE: ACT_PICKING_UP: ACT_PUNCHING
S | ACT_RELEASING_BOWSER: ACT_HOLDING_BOWSER: ACT_PICKING_UP_BOWSER
